last_updated,name,address,rating,description,distance,place_id,hours,allHours
2025-04-24T13:54:55.694360,Wazwan UIC,"750 South Halsted Street Suite 003, Chicago",2,,0.0,ChIJvbXihkgtDogRN2rRLm5g9tc,,
2025-04-24T13:54:55.833346,Subway,"750 S. Halsted St Uic Blg #605,Rm 090,290A&290aa, Chicago",2.5,,0.0,ChIJ8UPfIfAsDogRDGiRcoqYbRc,"Monday: 8:00 AM – 8:00 PM
Tuesday: 8:00 AM – 8:00 PM
Wednesday: 8:00 AM – 8:00 PM
Thursday: 8:00 AM – 8:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: Closed
Sunday: Closed","Monday: 8:00 AM – 8:00 PM
Tuesday: 8:00 AM – 8:00 PM
Wednesday: 8:00 AM – 8:00 PM
Thursday: 8:00 AM – 8:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: Closed
Sunday: Closed"
2025-04-24T13:54:56.019047,Moe's Southwest Grill,"750 South Halsted Street, Chicago",3.6,,0.0,ChIJ95QawuQtDogR-5dcUoTzecw,"Monday: 9:00 AM – 7:00 PM
Tuesday: 9:00 AM – 7:00 PM
Wednesday: 9:00 AM – 7:00 PM
Thursday: 9:00 AM – 7:00 PM
Friday: 9:00 AM – 5:00 PM
Saturday: Closed
Sunday: Closed","Monday: 9:00 AM – 7:00 PM
Tuesday: 9:00 AM – 7:00 PM
Wednesday: 9:00 AM – 7:00 PM
Thursday: 9:00 AM – 7:00 PM
Friday: 9:00 AM – 5:00 PM
Saturday: Closed
Sunday: Closed"
2025-04-24T13:54:56.151568,Panda Express,"750 South Halsted Street, Chicago",2.4,,0.0,ChIJhdi4oegsDogROfZMlA98NzE,,
2025-04-24T13:54:56.410311,Chick-fil-A,"Student Center East, 750 South Halsted Street, Chicago",3.3,,0.02,ChIJ7zYpn-gsDogRDOpqPyFB-IM,"Monday: 7:30 AM – 8:00 PM
Tuesday: 7:30 AM – 8:00 PM
Wednesday: 7:30 AM – 8:00 PM
Thursday: 7:30 AM – 8:00 PM
Friday: 7:30 AM – 7:00 PM
Saturday: 9:00 AM – 4:00 PM
Sunday: Closed","Monday: 7:30 AM – 8:00 PM
Tuesday: 7:30 AM – 8:00 PM
Wednesday: 7:30 AM – 8:00 PM
Thursday: 7:30 AM – 8:00 PM
Friday: 7:30 AM – 7:00 PM
Saturday: 9:00 AM – 4:00 PM
Sunday: Closed"
2025-04-24T13:54:56.520763,Farmer's Fridge,"750 South Halsted Street, Chicago",,,0.02,ChIJ2Th5HhwtDogRVd31kl7ei90,"Monday: 8:00 AM – 6:00 PM
Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: Closed
Sunday: Closed","Monday: 8:00 AM – 6:00 PM
Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: Closed
Sunday: Closed"
2025-04-24T13:54:56.657855,Dunkin',"University of Illinois Chicago, Circle Center, 750 South Halsted Street, Chicago",2.7,,0.02,ChIJyb_IpOgsDogR1BoPbqXG3SA,"Monday: 6:30 AM – 10:00 PM
Tuesday: 6:30 AM – 10:00 PM
Wednesday: 6:30 AM – 10:00 PM
Thursday: 6:30 AM – 10:00 PM
Friday: 6:30 AM – 10:00 PM
Saturday: 7:00 AM – 6:00 PM
Sunday: 7:00 AM – 6:00 PM","Monday: 6:30 AM – 10:00 PM
Tuesday: 6:30 AM – 10:00 PM
Wednesday: 6:30 AM – 10:00 PM
Thursday: 6:30 AM – 10:00 PM
Friday: 6:30 AM – 10:00 PM
Saturday: 7:00 AM – 6:00 PM
Sunday: 7:00 AM – 6:00 PM"
2025-04-24T13:54:56.801300,UIC United Table,"750 South Halsted Street, Chicago",1,,0.02,ChIJqzHZDwAtDogRwq6yveUB3r0,,
2025-04-24T13:54:56.908748,Tikka Curry by Jigar's Kitchen,"Student Center East Tower, UIC, 750 South Halsted Street, Chicago",,,0.04,ChIJ4RrsEAAtDogRFOb9Y5pxjDA,,
2025-04-24T13:54:57.029050,Tropical Smoothie Cafe,"737 South Halsted Street, Chicago",4,,0.09,ChIJ_y698ugsDogRZncDN8_wkD8,"Monday: 9:00 AM – 10:00 PM
Tuesday: 9:00 AM – 10:00 PM
Wednesday: 9:00 AM – 10:00 PM
Thursday: 9:00 AM – 10:00 PM
Friday: 9:00 AM – 8:00 PM
Saturday: 10:00 AM – 6:00 PM
Sunday: Closed","Monday: 9:00 AM – 10:00 PM
Tuesday: 9:00 AM – 10:00 PM
Wednesday: 9:00 AM – 10:00 PM
Thursday: 9:00 AM – 10:00 PM
Friday: 9:00 AM – 8:00 PM
Saturday: 10:00 AM – 6:00 PM
Sunday: Closed"
